vshakhov@ubuntu:~$ pidstat -w -I -t -p 2220 5
Linux 4.8.0-22-generic (ubuntu) 	12/17/2016 	_x86_64_	(2 CPU)

09:30:56 PM   UID      TGID       TID   cswch/s nvcswch/s  Command
09:31:01 PM  1000      2220         -      0.00      0.00  java
09:31:01 PM  1000         -      2220      0.00      0.00  |__java
09:31:01 PM  1000         -      2222  41170.06    133.73  |__java
09:31:01 PM  1000         -      2226     47.31      0.60  |__java
09:31:01 PM  1000         -      2227     46.31      0.40  |__java
09:31:01 PM  1000         -      2228     96.61     13.97  |__java
09:31:01 PM  1000         -      2229      0.00      0.00  |__java
09:31:01 PM  1000         -      2230      0.00      0.00  |__java
09:31:01 PM  1000         -      2231      0.00      0.00  |__java
09:31:01 PM  1000         -      2232      0.20      0.00  |__java
09:31:01 PM  1000         -      2233      0.20      0.00  |__java
09:31:01 PM  1000         -      2234      0.00      0.00  |__java
09:31:01 PM  1000         -      2235     19.96      0.00  |__java
09:31:01 PM  1000         -      2236   5084.63  17654.29  |__java
09:31:01 PM  1000         -      2237   4819.96  21511.38  |__java

09:31:01 PM   UID      TGID       TID   cswch/s nvcswch/s  Command
09
